Geo,Year,FuelCost.2005,PowerCost.2005
1,2005,1.914,0.073
2,2005,1.914,0.073
3,2005,1.914,0.073
4,2005,1.914,0.073
5,2005,1.914,0.073
6,2005,1.914,0.073
7,2005,1.914,0.073
8,2005,1.914,0.073
9,2005,1.914,0.073
10,2005,1.914,0.073
11,2005,1.914,0.073
12,2005,1.914,0.073
13,2005,1.914,0.073
14,2005,1.914,0.073
15,2005,1.914,0.073
16,2005,1.914,0.073
17,2005,1.914,0.073
18,2005,1.914,0.073
19,2005,1.914,0.073
20,2005,1.914,0.073
1,2010,2.249049777,0.08
2,2010,2.249049777,0.08
3,2010,2.249049777,0.08
4,2010,2.249049777,0.08
5,2010,2.249049777,0.08
6,2010,2.249049777,0.08
7,2010,2.249049777,0.08
8,2010,2.249049777,0.08
9,2010,2.249049777,0.08
10,2010,2.249049777,0.08
11,2010,2.249049777,0.08
12,2010,2.249049777,0.08
13,2010,2.249049777,0.08
14,2010,2.249049777,0.08
15,2010,2.249049777,0.08
16,2010,2.249049777,0.08
17,2010,2.249049777,0.08
18,2010,2.249049777,0.08
19,2010,2.249049777,0.08
20,2010,2.249049777,0.08
1,2020,1.836255421,0.132291029
2,2020,1.836255421,0.132291029
3,2020,1.836255421,0.132291029
4,2020,1.836255421,0.132291029
5,2020,1.836255421,0.132291029
6,2020,1.836255421,0.132291029
7,2020,1.836255421,0.132291029
8,2020,1.836255421,0.132291029
9,2020,1.836255421,0.132291029
10,2020,1.836255421,0.132291029
11,2020,1.836255421,0.132291029
12,2020,1.836255421,0.132291029
13,2020,1.836255421,0.132291029
14,2020,1.836255421,0.132291029
15,2020,1.836255421,0.132291029
16,2020,1.836255421,0.132291029
17,2020,1.836255421,0.132291029
18,2020,1.836255421,0.132291029
19,2020,1.836255421,0.132291029
20,2020,1.836255421,0.132291029
1,2025,2.092058158,0.143315281
2,2025,2.092058158,0.143315281
3,2025,2.092058158,0.143315281
4,2025,2.092058158,0.143315281
5,2025,2.092058158,0.143315281
6,2025,2.092058158,0.143315281
7,2025,2.092058158,0.143315281
8,2025,2.092058158,0.143315281
9,2025,2.092058158,0.143315281
10,2025,2.092058158,0.143315281
11,2025,2.092058158,0.143315281
12,2025,2.092058158,0.143315281
13,2025,2.092058158,0.143315281
14,2025,2.092058158,0.143315281
15,2025,2.092058158,0.143315281
16,2025,2.092058158,0.143315281
17,2025,2.092058158,0.143315281
18,2025,2.092058158,0.143315281
19,2025,2.092058158,0.143315281
20,2025,2.092058158,0.143315281
1,2030,2.180739649,0.143315281
2,2030,2.180739649,0.143315281
3,2030,2.180739649,0.143315281
4,2030,2.180739649,0.143315281
5,2030,2.180739649,0.143315281
6,2030,2.180739649,0.143315281
7,2030,2.180739649,0.143315281
8,2030,2.180739649,0.143315281
9,2030,2.180739649,0.143315281
10,2030,2.180739649,0.143315281
11,2030,2.180739649,0.143315281
12,2030,2.180739649,0.143315281
13,2030,2.180739649,0.143315281
14,2030,2.180739649,0.143315281
15,2030,2.180739649,0.143315281
16,2030,2.180739649,0.143315281
17,2030,2.180739649,0.143315281
18,2030,2.180739649,0.143315281
19,2030,2.180739649,0.143315281
20,2030,2.180739649,0.143315281
1,2035,2.271728448,0.143315281
2,2035,2.271728448,0.143315281
3,2035,2.271728448,0.143315281
4,2035,2.271728448,0.143315281
5,2035,2.271728448,0.143315281
6,2035,2.271728448,0.143315281
7,2035,2.271728448,0.143315281
8,2035,2.271728448,0.143315281
9,2035,2.271728448,0.143315281
10,2035,2.271728448,0.143315281
11,2035,2.271728448,0.143315281
12,2035,2.271728448,0.143315281
13,2035,2.271728448,0.143315281
14,2035,2.271728448,0.143315281
15,2035,2.271728448,0.143315281
16,2035,2.271728448,0.143315281
17,2035,2.271728448,0.143315281
18,2035,2.271728448,0.143315281
19,2035,2.271728448,0.143315281
20,2035,2.271728448,0.143315281
1,2040,2.377951635,0.143315281
2,2040,2.377951635,0.143315281
3,2040,2.377951635,0.143315281
4,2040,2.377951635,0.143315281
5,2040,2.377951635,0.143315281
6,2040,2.377951635,0.143315281
7,2040,2.377951635,0.143315281
8,2040,2.377951635,0.143315281
9,2040,2.377951635,0.143315281
10,2040,2.377951635,0.143315281
11,2040,2.377951635,0.143315281
12,2040,2.377951635,0.143315281
13,2040,2.377951635,0.143315281
14,2040,2.377951635,0.143315281
15,2040,2.377951635,0.143315281
16,2040,2.377951635,0.143315281
17,2040,2.377951635,0.143315281
18,2040,2.377951635,0.143315281
19,2040,2.377951635,0.143315281
20,2040,2.377951635,0.143315281
1,2045,2.420062698,0.143315281
2,2045,2.420062698,0.143315281
3,2045,2.420062698,0.143315281
4,2045,2.420062698,0.143315281
5,2045,2.420062698,0.143315281
6,2045,2.420062698,0.143315281
7,2045,2.420062698,0.143315281
8,2045,2.420062698,0.143315281
9,2045,2.420062698,0.143315281
10,2045,2.420062698,0.143315281
11,2045,2.420062698,0.143315281
12,2045,2.420062698,0.143315281
13,2045,2.420062698,0.143315281
14,2045,2.420062698,0.143315281
15,2045,2.420062698,0.143315281
16,2045,2.420062698,0.143315281
17,2045,2.420062698,0.143315281
18,2045,2.420062698,0.143315281
19,2045,2.420062698,0.143315281
20,2045,2.420062698,0.143315281
1,2050,2.473255577,0.143315281
2,2050,2.473255577,0.143315281
3,2050,2.473255577,0.143315281
4,2050,2.473255577,0.143315281
5,2050,2.473255577,0.143315281
6,2050,2.473255577,0.143315281
7,2050,2.473255577,0.143315281
8,2050,2.473255577,0.143315281
9,2050,2.473255577,0.143315281
10,2050,2.473255577,0.143315281
11,2050,2.473255577,0.143315281
12,2050,2.473255577,0.143315281
13,2050,2.473255577,0.143315281
14,2050,2.473255577,0.143315281
15,2050,2.473255577,0.143315281
16,2050,2.473255577,0.143315281
17,2050,2.473255577,0.143315281
18,2050,2.473255577,0.143315281
19,2050,2.473255577,0.143315281
20,2050,2.473255577,0.143315281
