Geo,Year,AutoMeanAge,LtTrkMeanAge
1,2005,9.28,9.63
2,2005,9.28,9.63
3,2005,9.28,9.63
4,2005,9.28,9.63
5,2005,8.96,9.45
6,2005,8.96,9.45
7,2005,8.96,9.45
8,2005,8.96,9.45
9,2005,8.96,9.45
10,2005,8.96,9.45
11,2005,8.96,9.45
12,2005,8.96,9.45
13,2005,8.96,9.45
14,2005,8.34,8.47
15,2005,8.34,8.47
16,2005,8.34,8.47
17,2005,8.34,8.47
18,2005,8.81,9.05
19,2005,8.81,9.05
20,2005,8.81,9.05
1,2010,9.92,10.65
2,2010,9.92,10.65
3,2010,9.92,10.65
4,2010,9.92,10.65
5,2010,9.58,10.45
6,2010,9.58,10.45
7,2010,9.58,10.45
8,2010,9.58,10.45
9,2010,9.58,10.45
10,2010,9.58,10.45
11,2010,9.58,10.45
12,2010,9.58,10.45
13,2010,9.58,10.45
14,2010,8.92,9.36
15,2010,8.92,9.36
16,2010,8.92,9.36
17,2010,8.92,9.36
18,2010,9.42,10.005
19,2010,9.42,10.005
20,2010,9.42,10.005
1,2020,10.66,11.76
2,2020,10.66,11.76
3,2020,10.66,11.76
4,2020,10.66,11.76
5,2020,10.29,11.54
6,2020,10.29,11.54
7,2020,10.29,11.54
8,2020,10.29,11.54
9,2020,10.29,11.54
10,2020,10.29,11.54
11,2020,10.29,11.54
12,2020,10.29,11.54
13,2020,10.29,11.54
14,2020,9.58,10.34
15,2020,9.58,10.34
16,2020,9.58,10.34
17,2020,9.58,10.34
18,2020,10.12,11.05
19,2020,10.12,11.05
20,2020,10.12,11.05
1,2025,10.66,11.76
2,2025,10.66,11.76
3,2025,10.66,11.76
4,2025,10.66,11.76
5,2025,10.29,11.54
6,2025,10.29,11.54
7,2025,10.29,11.54
8,2025,10.29,11.54
9,2025,10.29,11.54
10,2025,10.29,11.54
11,2025,10.29,11.54
12,2025,10.29,11.54
13,2025,10.29,11.54
14,2025,9.58,10.34
15,2025,9.58,10.34
16,2025,9.58,10.34
17,2025,9.58,10.34
18,2025,10.12,11.05
19,2025,10.12,11.05
20,2025,10.12,11.05
1,2030,10.66,11.76
2,2030,10.66,11.76
3,2030,10.66,11.76
4,2030,10.66,11.76
5,2030,10.29,11.54
6,2030,10.29,11.54
7,2030,10.29,11.54
8,2030,10.29,11.54
9,2030,10.29,11.54
10,2030,10.29,11.54
11,2030,10.29,11.54
12,2030,10.29,11.54
13,2030,10.29,11.54
14,2030,9.58,10.34
15,2030,9.58,10.34
16,2030,9.58,10.34
17,2030,9.58,10.34
18,2030,10.12,11.05
19,2030,10.12,11.05
20,2030,10.12,11.05
1,2035,10.66,11.76
2,2035,10.66,11.76
3,2035,10.66,11.76
4,2035,10.66,11.76
5,2035,10.29,11.54
6,2035,10.29,11.54
7,2035,10.29,11.54
8,2035,10.29,11.54
9,2035,10.29,11.54
10,2035,10.29,11.54
11,2035,10.29,11.54
12,2035,10.29,11.54
13,2035,10.29,11.54
14,2035,9.58,10.34
15,2035,9.58,10.34
16,2035,9.58,10.34
17,2035,9.58,10.34
18,2035,10.12,11.05
19,2035,10.12,11.05
20,2035,10.12,11.05
1,2040,10.66,11.76
2,2040,10.66,11.76
3,2040,10.66,11.76
4,2040,10.66,11.76
5,2040,10.29,11.54
6,2040,10.29,11.54
7,2040,10.29,11.54
8,2040,10.29,11.54
9,2040,10.29,11.54
10,2040,10.29,11.54
11,2040,10.29,11.54
12,2040,10.29,11.54
13,2040,10.29,11.54
14,2040,9.58,10.34
15,2040,9.58,10.34
16,2040,9.58,10.34
17,2040,9.58,10.34
18,2040,10.12,11.05
19,2040,10.12,11.05
20,2040,10.12,11.05
1,2045,10.66,11.76
2,2045,10.66,11.76
3,2045,10.66,11.76
4,2045,10.66,11.76
5,2045,10.29,11.54
6,2045,10.29,11.54
7,2045,10.29,11.54
8,2045,10.29,11.54
9,2045,10.29,11.54
10,2045,10.29,11.54
11,2045,10.29,11.54
12,2045,10.29,11.54
13,2045,10.29,11.54
14,2045,9.58,10.34
15,2045,9.58,10.34
16,2045,9.58,10.34
17,2045,9.58,10.34
18,2045,10.12,11.05
19,2045,10.12,11.05
20,2045,10.12,11.05
1,2050,10.66,11.76
2,2050,10.66,11.76
3,2050,10.66,11.76
4,2050,10.66,11.76
5,2050,10.29,11.54
6,2050,10.29,11.54
7,2050,10.29,11.54
8,2050,10.29,11.54
9,2050,10.29,11.54
10,2050,10.29,11.54
11,2050,10.29,11.54
12,2050,10.29,11.54
13,2050,10.29,11.54
14,2050,9.58,10.34
15,2050,9.58,10.34
16,2050,9.58,10.34
17,2050,9.58,10.34
18,2050,10.12,11.05
19,2050,10.12,11.05
20,2050,10.12,11.05
