Geo,Year,HHIncomePC.2005,GQIncomePC.2005
1,2005,40461,15000
2,2005,40461,15000
3,2005,40461,15000
4,2005,40461,15000
5,2005,36409,15000
6,2005,36409,15000
7,2005,36409,15000
8,2005,36409,15000
9,2005,36409,15000
10,2005,36409,15000
11,2005,36409,15000
12,2005,36409,15000
13,2005,36409,15000
14,2005,35955,15000
15,2005,35955,15000
16,2005,35955,15000
17,2005,35955,15000
18,2005,37608.33333,15000
19,2005,37608.33333,15000
20,2005,37608.33333,15000
1,2010,38506,15000
2,2010,38506,15000
3,2010,38506,15000
4,2010,38506,15000
5,2010,34571,15000
6,2010,34571,15000
7,2010,34571,15000
8,2010,34571,15000
9,2010,34571,15000
10,2010,34571,15000
11,2010,34571,15000
12,2010,34571,15000
13,2010,34571,15000
14,2010,35263,15000
15,2010,35263,15000
16,2010,35263,15000
17,2010,35263,15000
18,2010,36113.33333,15000
19,2010,36113.33333,15000
20,2010,36113.33333,15000
1,2020,43841,15000
2,2020,43841,15000
3,2020,43841,15000
4,2020,43841,15000
5,2020,38832,15000
6,2020,38832,15000
7,2020,38832,15000
8,2020,38832,15000
9,2020,38832,15000
10,2020,38832,15000
11,2020,38832,15000
12,2020,38832,15000
13,2020,38832,15000
14,2020,39502,15000
15,2020,39502,15000
16,2020,39502,15000
17,2020,39502,15000
18,2020,40725,15000
19,2020,40725,15000
20,2020,40725,15000
1,2025,45905,15000
2,2025,45905,15000
3,2025,45905,15000
4,2025,45905,15000
5,2025,40661,15000
6,2025,40661,15000
7,2025,40661,15000
8,2025,40661,15000
9,2025,40661,15000
10,2025,40661,15000
11,2025,40661,15000
12,2025,40661,15000
13,2025,40661,15000
14,2025,41363,15000
15,2025,41363,15000
16,2025,41363,15000
17,2025,41363,15000
18,2025,42643,15000
19,2025,42643,15000
20,2025,42643,15000
1,2030,48068,15000
2,2030,48068,15000
3,2030,48068,15000
4,2030,48068,15000
5,2030,42577,15000
6,2030,42577,15000
7,2030,42577,15000
8,2030,42577,15000
9,2030,42577,15000
10,2030,42577,15000
11,2030,42577,15000
12,2030,42577,15000
13,2030,42577,15000
14,2030,43312,15000
15,2030,43312,15000
16,2030,43312,15000
17,2030,43312,15000
18,2030,44652.33333,15000
19,2030,44652.33333,15000
20,2030,44652.33333,15000
1,2035,50333,15000
2,2035,50333,15000
3,2035,50333,15000
4,2035,50333,15000
5,2035,44583,15000
6,2035,44583,15000
7,2035,44583,15000
8,2035,44583,15000
9,2035,44583,15000
10,2035,44583,15000
11,2035,44583,15000
12,2035,44583,15000
13,2035,44583,15000
14,2035,45352,15000
15,2035,45352,15000
16,2035,45352,15000
17,2035,45352,15000
18,2035,46756,15000
19,2035,46756,15000
20,2035,46756,15000
1,2040,52704,15000
2,2040,52704,15000
3,2040,52704,15000
4,2040,52704,15000
5,2040,46684,15000
6,2040,46684,15000
7,2040,46684,15000
8,2040,46684,15000
9,2040,46684,15000
10,2040,46684,15000
11,2040,46684,15000
12,2040,46684,15000
13,2040,46684,15000
14,2040,47489,15000
15,2040,47489,15000
16,2040,47489,15000
17,2040,47489,15000
18,2040,48959,15000
19,2040,48959,15000
20,2040,48959,15000
1,2045,55187,15000
2,2045,55187,15000
3,2045,55187,15000
4,2045,55187,15000
5,2045,48882,15000
6,2045,48882,15000
7,2045,48882,15000
8,2045,48882,15000
9,2045,48882,15000
10,2045,48882,15000
11,2045,48882,15000
12,2045,48882,15000
13,2045,48882,15000
14,2045,49726,15000
15,2045,49726,15000
16,2045,49726,15000
17,2045,49726,15000
18,2045,51265,15000
19,2045,51265,15000
20,2045,51265,15000
1,2050,57787,15000
2,2050,57787,15000
3,2050,57787,15000
4,2050,57787,15000
5,2050,51185,15000
6,2050,51185,15000
7,2050,51185,15000
8,2050,51185,15000
9,2050,51185,15000
10,2050,51185,15000
11,2050,51185,15000
12,2050,51185,15000
13,2050,51185,15000
14,2050,52069,15000
15,2050,52069,15000
16,2050,52069,15000
17,2050,52069,15000
18,2050,53680.33333,15000
19,2050,53680.33333,15000
20,2050,53680.33333,15000
