Geo,Year,FuelTax.2005,VmtTax.2005,PevSurchgTaxProp
1,2005,0.424,0,0
2,2005,0.424,0,0
3,2005,0.424,0,0
4,2005,0.424,0,0
5,2005,0.424,0,0
6,2005,0.424,0,0
7,2005,0.424,0,0
8,2005,0.424,0,0
9,2005,0.424,0,0
10,2005,0.424,0,0
11,2005,0.424,0,0
12,2005,0.424,0,0
13,2005,0.424,0,0
14,2005,0.424,0,0
15,2005,0.424,0,0
16,2005,0.424,0,0
17,2005,0.424,0,0
18,2005,0.424,0,0
19,2005,0.424,0,0
20,2005,0.424,0,0
1,2010,0.38529176,0,0
2,2010,0.38529176,0,0
3,2010,0.38529176,0,0
4,2010,0.38529176,0,0
5,2010,0.38529176,0,0
6,2010,0.38529176,0,0
7,2010,0.38529176,0,0
8,2010,0.38529176,0,0
9,2010,0.38529176,0,0
10,2010,0.38529176,0,0
11,2010,0.38529176,0,0
12,2010,0.38529176,0,0
13,2010,0.38529176,0,0
14,2010,0.38529176,0,0
15,2010,0.38529176,0,0
16,2010,0.38529176,0,0
17,2010,0.38529176,0,0
18,2010,0.38529176,0,0
19,2010,0.38529176,0,0
20,2010,0.38529176,0,0
1,2020,0.412545581,0,0
2,2020,0.412545581,0,0
3,2020,0.412545581,0,0
4,2020,0.412545581,0,0
5,2020,0.444,0,0
6,2020,0.444,0,0
7,2020,0.444,0,0
8,2020,0.444,0,0
9,2020,0.444,0,0
10,2020,0.444,0,0
11,2020,0.444,0,0
12,2020,0.444,0,0
13,2020,0.444,0,0
14,2020,0.412545581,0,0
15,2020,0.412545581,0,0
16,2020,0.412545581,0,0
17,2020,0.412545581,0,0
18,2020,0.412545581,0,0
19,2020,0.412545581,0,0
20,2020,0.412545581,0,0
1,2025,0.397960092,0,1
2,2025,0.397960092,0,1
3,2025,0.397960092,0,1
4,2025,0.397960092,0,1
5,2025,0.397960092,0,1
6,2025,0.397960092,0,1
7,2025,0.397960092,0,1
8,2025,0.397960092,0,1
9,2025,0.397960092,0,1
10,2025,0.397960092,0,1
11,2025,0.397960092,0,1
12,2025,0.397960092,0,1
13,2025,0.397960092,0,1
14,2025,0.397960092,0,1
15,2025,0.397960092,0,1
16,2025,0.397960092,0,1
17,2025,0.397960092,0,1
18,2025,0.397960092,0,1
19,2025,0.397960092,0,1
20,2025,0.397960092,0,1
1,2030,0.35642976,0,1
2,2030,0.35642976,0,1
3,2030,0.35642976,0,1
4,2030,0.35642976,0,1
5,2030,0.35642976,0,1
6,2030,0.35642976,0,1
7,2030,0.35642976,0,1
8,2030,0.35642976,0,1
9,2030,0.35642976,0,1
10,2030,0.35642976,0,1
11,2030,0.35642976,0,1
12,2030,0.35642976,0,1
13,2030,0.35642976,0,1
14,2030,0.35642976,0,1
15,2030,0.35642976,0,1
16,2030,0.35642976,0,1
17,2030,0.35642976,0,1
18,2030,0.35642976,0,1
19,2030,0.35642976,0,1
20,2030,0.35642976,0,1
1,2035,0.322585767,0,1
2,2035,0.322585767,0,1
3,2035,0.322585767,0,1
4,2035,0.322585767,0,1
5,2035,0.322585767,0,1
6,2035,0.322585767,0,1
7,2035,0.322585767,0,1
8,2035,0.322585767,0,1
9,2035,0.322585767,0,1
10,2035,0.322585767,0,1
11,2035,0.322585767,0,1
12,2035,0.322585767,0,1
13,2035,0.322585767,0,1
14,2035,0.322585767,0,1
15,2035,0.322585767,0,1
16,2035,0.322585767,0,1
17,2035,0.322585767,0,1
18,2035,0.322585767,0,1
19,2035,0.322585767,0,1
20,2035,0.322585767,0,1
1,2040,0.293628788,0,1
2,2040,0.293628788,0,1
3,2040,0.293628788,0,1
4,2040,0.293628788,0,1
5,2040,0.293628788,0,1
6,2040,0.293628788,0,1
7,2040,0.293628788,0,1
8,2040,0.293628788,0,1
9,2040,0.293628788,0,1
10,2040,0.293628788,0,1
11,2040,0.293628788,0,1
12,2040,0.293628788,0,1
13,2040,0.293628788,0,1
14,2040,0.293628788,0,1
15,2040,0.293628788,0,1
16,2040,0.293628788,0,1
17,2040,0.293628788,0,1
18,2040,0.293628788,0,1
19,2040,0.293628788,0,1
20,2040,0.293628788,0,1
1,2045,0.26485264,0,1
2,2045,0.26485264,0,1
3,2045,0.26485264,0,1
4,2045,0.26485264,0,1
5,2045,0.26485264,0,1
6,2045,0.26485264,0,1
7,2045,0.26485264,0,1
8,2045,0.26485264,0,1
9,2045,0.26485264,0,1
10,2045,0.26485264,0,1
11,2045,0.26485264,0,1
12,2045,0.26485264,0,1
13,2045,0.26485264,0,1
14,2045,0.26485264,0,1
15,2045,0.26485264,0,1
16,2045,0.26485264,0,1
17,2045,0.26485264,0,1
18,2045,0.26485264,0,1
19,2045,0.26485264,0,1
20,2045,0.26485264,0,1
1,2050,0.237924834,0,1
2,2050,0.237924834,0,1
3,2050,0.237924834,0,1
4,2050,0.237924834,0,1
5,2050,0.237924834,0,1
6,2050,0.237924834,0,1
7,2050,0.237924834,0,1
8,2050,0.237924834,0,1
9,2050,0.237924834,0,1
10,2050,0.237924834,0,1
11,2050,0.237924834,0,1
12,2050,0.237924834,0,1
13,2050,0.237924834,0,1
14,2050,0.237924834,0,1
15,2050,0.237924834,0,1
16,2050,0.237924834,0,1
17,2050,0.237924834,0,1
18,2050,0.237924834,0,1
19,2050,0.237924834,0,1
20,2050,0.237924834,0,1
