Geo,Year,FwyNoneCongChg.2005,FwyModCongChg.2005,FwyHvyCongChg.2005,FwySevCongChg.2005,FwyExtCongChg.2005,ArtNoneCongChg.2005,ArtModCongChg.2005,ArtHvyCongChg.2005,ArtSevCongChg.2005,ArtExtCongChg.2005
Metro,2005,0,0,0,0,0,0,0,0,0,0
Metro,2010,0,0,0,0,0,0,0,0,0,0
Metro,2020,0,0,0,0,0,0,0,0,0,0
Metro,2025,0,0,0,0,0,0,0,0,0,0
Metro,2030,0,0,0,0,0,0,0,0,0,0
Metro,2035,0,0,0,0,0,0,0,0,0,0
Metro,2040,0,0,0,0,0,0,0,0,0,0
Metro,2045,0,0,0,0,0,0,0,0,0,0
Metro,2050,0,0,0,0,0,0,0,0,0,0
None,2005,0,0,0,0,0,0,0,0,0,0
None,2010,0,0,0,0,0,0,0,0,0,0
None,2020,0,0,0,0,0,0,0,0,0,0
None,2025,0,0,0,0,0,0,0,0,0,0
None,2030,0,0,0,0,0,0,0,0,0,0
None,2035,0,0,0,0,0,0,0,0,0,0
None,2040,0,0,0,0,0,0,0,0,0,0
None,2045,0,0,0,0,0,0,0,0,0,0
None,2050,0,0,0,0,0,0,0,0,0,0
