Geo,Year,FwySmooth,ArtSmooth,LdvEcoDrive,HvyTrkEcoDrive
Metro,1990,0,0,0,0
Metro,1995,0,0,0,0
Metro,2000,0,0,0,0
Metro,2005,0,0,0.001950954,0
Metro,2010,0,0,0.013075491,0
Metro,2020,0.474,0,0.038029223,0
Metro,2025,0.5245,0,0.066260307,0
Metro,2030,0.7365,0,0.102984358,0
Metro,2035,0.7365,0,0.141464704,0
Metro,2040,0.7365,0,0.179553089,0
Metro,2045,0.7365,0,0.212061417,0
Metro,2050,0.7365,0,0.239495056,0
None,1990,0,0,0,0
None,1995,0,0,0,0
None,2000,0,0,0,0
None,2005,0,0,0,0
None,2010,0,0,0,0
None,2020,0,0,0,0
None,2025,0,0,0,0
None,2030,0,0,0,0
None,2035,0,0,0,0
None,2040,0,0,0,0
None,2045,0,0,0,0
None,2050,0,0,0,0
