Geo,Year,TransitVanFuelCI,TransitBusFuelCI,TransitRailFuelCI
Metro,2005,94.05,101.65,101.65
Metro,2010,93.04,99.69,100.81
Metro,2020,89.18,91.38,101.65
Metro,2025,74.31,87.31,101.65
Metro,2030,74.31,87.31,101.65
Metro,2035,74.31,87.31,101.65
Metro,2040,74.31,87.31,101.65
Metro,2045,74.31,87.31,101.65
Metro,2050,74.31,87.31,101.65
None,2005,NA,NA,NA
None,2010,NA,NA,NA
None,2020,NA,NA,NA
None,2025,NA,NA,NA
None,2030,NA,NA,NA
None,2035,NA,NA,NA
None,2040,NA,NA,NA
None,2045,NA,NA,NA
None,2050,NA,NA,NA
